Symbol,NAME OF COMPANY,ListingDate
SUTLEJTEX,Sutlej Textiles and Industries Limited,2006-12-14
SUVEN,Suven Life Sciences Limited,2003-10-23
SUVIDHAA,Suvidhaa Infoserve Limited,2021-03-31
SUYOG,Suyog Telematics Limited,2024-08-20
SUZLON,Suzlon Energy Limited,2005-10-19
SVLL,Shree Vasu Logistics Limited,2023-04-21
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,2021-07-14
SWANCORP,SWAN CORP LIMITED,2012-05-29
SWANDEF,Swan Defence and Heavy Industries Limited,2025-01-20
SWARAJENG,Swaraj Engines Limited,1995-12-06
SWELECTES,Swelect Energy Systems Limited,2006-05-09
SWIGGY,Swiggy Limited,2024-11-13
SWSOLAR,Sterling and Wilson Renewable Energy Limited,2019-08-20
SYMPHONY,Symphony Limited,2011-06-15
SYNCOMF,Syncom Formulations (India) Limited,2022-11-18
SYNGENE,Syngene International Limited,2015-08-11
SYRMA,Syrma SGS Technology Limited,2022-08-26
SYSTMTXC,Systematix Corporate Services Limited,2025-10-06
TAALTECH,Taal Tech Limited,2026-04-20
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,1995-07-27
TAJGVK,Taj GVK Hotels & Resorts Limited,2000-12-20
TAKE,Take Solutions Limited,2007-08-27
TALBROAUTO,Talbros Automotive Components Limited,2006-09-29
TAMBOLIIN,Tamboli Industries Limited,2026-04-20
TANLA,Tanla Platforms Limited,2007-01-05
TARACHAND,Tara Chand InfraLogistic Solutions Limited,2024-04-16
TARAPUR,Tarapur Transformers Limited,2010-05-18
TARC,TARC Limited,2020-12-18
TARIL,Transformers And Rectifiers (India) Limited,2007-12-28
TARMAT,Tarmat Limited,2007-07-09
TARSONS,Tarsons Products Limited,2021-11-26
TASTYBITE,Tasty Bite Eatables Limited,2017-03-23
TATACAP,Tata Capital Limited,2025-10-13
TATACHEM,Tata Chemicals Limited,1999-04-01
TATACOMM,Tata Communications Limited,1995-04-12
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,1998-11-18
TATAELXSI,Tata Elxsi Limited,2003-09-17
TATAINVEST,Tata Investment Corporation Limited,1998-06-24
TATAPOWER,Tata Power Company Limited,1996-04-03
TATASTEEL,Tata Steel Limited,1998-11-18
TATATECH,Tata Technologies Limited,2023-11-30
TATVA,Tatva Chintan Pharma Chem Limited,2021-07-29
TBOTEK,TBO Tek Limited,2024-05-15
TBZ,Tribhovandas Bhimji Zaveri Limited,2012-05-09
TCC,TCC Concept Limited,2026-02-25
TCI,Transport Corporation of India Limited,2002-01-21
TCIEXP,TCI Express Limited,2016-12-15
TCIFINANCE,TCI Finance Limited,1997-05-21
TCPLPACK,TCPL Packaging Limited,2017-10-17
TCS,Tata Consultancy Services Limited,2004-08-25
TDPOWERSYS,TD Power Systems Limited,2011-09-08
TEAMGTY,Team India Guaranty Limited,2002-06-11
TEAMLEASE,Teamlease Services Limited,2016-02-12
TECHM,Tech Mahindra Limited,2006-08-28
TECHNOE,Techno Electric & Engineering Company Limited,2018-12-04
TECHNVISN,TechNVision Ventures Limited,2026-04-20
TECILCHEM,TECIL Chemicals and Hydro Power Limited,1995-12-06
TEGA,Tega Industries Limited,2021-12-13
TEJASNET,Tejas Networks Limited,2017-06-27
TEMBO,Tembo Global Industries Limited,2021-04-23
TENNIND,Tenneco Clean Air India Limited,2025-11-19
TERASOFT,Tera Software Limited,2016-12-29
TEXINFRA,Texmaco Infrastructure & Holdings Limited,2004-09-09
TEXMOPIPES,Texmo Pipes and Products Limited,2010-03-10
TEXRAIL,Texmaco Rail & Engineering Limited,2011-03-03
TFCILTD,Tourism Finance Corporation of India Limited,2000-07-26
TFL,Transwarranty Finance Limited,2007-02-26
TGBHOTELS,TGB Banquets And Hotels Limited,2007-05-17
THACKER,Thacker & Company Limited,2026-04-20
THAKDEV,Thakkers Developers Limited,2026-04-20
THANGAMAYL,Thangamayil Jewellery Limited,2010-02-19
THEINVEST,The Investment Trust Of India Limited,2017-08-02
THEJO,Thejo Engineering Limited,2023-10-10
THELEELA,Leela Palaces Hotels & Resorts Limited,2025-06-02
THEMISMED,Themis Medicare Limited,2007-04-02
THERMAX,Thermax Limited,1995-08-30
THOMASCOOK,Thomas Cook  (India)  Limited,2000-06-07
THOMASCOTT,Thomas Scott (India) Limited,2012-01-30
THYROCARE,Thyrocare Technologies Limited,2016-05-09
TI,Tilaknagar Industries Limited,2010-07-16
TICL,Twamev Construction and Infrastructure Limited,2023-10-16
TIGERLOGS,Tiger Logistics (India) Limited,2025-09-18
TIIL,Technocraft Industries (India) Limited,2007-02-12
TIINDIA,Tube Investments of India Limited,2017-11-02
TIJARIA,Tijaria Polypipes Limited,2011-10-14
TIL,TIL Limited,1995-09-27
TIMETECHNO,Time Technoplast Limited,2007-06-13
TIMEX,Timex Group India Limited,2026-04-20
TIMKEN,Timken India Limited,2007-02-06
TINNARUBR,Tinna Rubber and Infrastructure Limited,2025-04-17
TIPSFILMS,Tips Films Limited,2022-10-06
TIPSMUSIC,Tips Music Limited,2000-11-10
TIRUMALCHM,Thirumalai Chemicals Limited,2003-05-14
TIRUPATIFL,Tirupati Forge Limited,2020-08-04
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,2008-04-21
TITAN,Titan Company Limited,2004-09-24
TMB,Tamilnad Mercantile Bank Limited,2022-09-15
TMCV,Tata Motors Limited,2025-11-12
TMPV,Tata Motors Passenger Vehicles Limited,1998-07-22
TNPETRO,Tamilnadu PetroProducts Limited,1999-10-27
TNPL,Tamil Nadu Newsprint & Papers Limited,1996-02-14
TNTELE,Tamilnadu Telecommunication Limited,2003-02-04
TOKYOPLAST,Tokyo Plast International Limited,1995-10-11
TOLINS,Tolins Tyres Limited,2024-09-16
TORNTPHARM,Torrent Pharmaceuticals Limited,2002-11-25
TORNTPOWER,Torrent Power Limited,2006-11-28
TOTAL,Total Transport Systems Limited,2020-08-28
TOUCHWOOD,Touchwood Entertainment Limited,2020-01-21
TPHQ,Teamo Productions HQ Limited,2009-01-30
TPLPLASTEH,TPL Plastech Limited,2015-05-20
TRACXN,Tracxn Technologies Limited,2022-10-20
TRANSPEK,Transpek Industry Limited,2026-04-20
TRANSRAILL,Transrail Lighting Limited,2024-12-27
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,1995-03-01
TRAVELFOOD,Travel Food Services Limited,2025-07-14
TREEHOUSE,Tree House Education & Accessories Limited,2011-08-26
TREJHARA,TREJHARA SOLUTIONS LIMITED,2018-12-28
TREL,Transindia Real Estate Limited,2023-08-10
TRENT,Trent Limited,2004-06-07
TRF,TRF Limited,2010-03-26
TRIDENT,Trident Limited,2001-02-21
TRIGYN,Trigyn Technologies Limited,1998-04-09
TRITURBINE,Triveni Turbine Limited,2011-10-28
TRIVENI,Triveni Engineering & Industries Limited,2005-12-13
TRU,TruCap Finance Limited,2023-06-20
TRUALT,TruAlt Bioenergy Limited,2025-10-03
TSFINV,TSF INVESTMENTS LIMITED,2018-03-26
TTKHLTCARE,TTK Healthcare Limited,2015-12-02
TTKPRESTIG,TTK Prestige Limited,1999-12-22
TTL,T T Limited,2007-02-22
TTML,Tata Teleservices (Maharashtra) Limited,2000-10-20
TVSELECT,TVS Electronics Limited,2003-12-26
TVSHLTD,TVS Holdings Limited,2012-10-23
TVSMOTOR,TVS Motor Company Limited,2000-08-02
TVSSCS,TVS Supply Chain Solutions Limited,2023-08-23
TVSSRICHAK,TVS Srichakra Limited,2007-02-13
TVTODAY,TV Today Network Limited,2004-01-16
TVVISION,TV Vision Limited,2016-09-15
UBL,United Breweries Limited,2008-07-28
UCAL,UCAL LIMITED,1995-09-13
UCOBANK,UCO Bank,2003-10-09
UDS,Updater Services Limited,2023-10-04
UEL,Ujaas Energy Limited,2024-04-16
UFBL,United Foodbrands Limited,2021-04-07
UFLEX,UFLEX Limited,1995-08-23
UFO,UFO Moviez India Limited,2015-05-14
UGARSUGAR,The Ugar Sugar Works Limited,2010-08-23
UGROCAP,Ugro Capital Limited,2021-08-11
UJJIVANSFB,Ujjivan Small Finance Bank Limited,2019-12-12
ULTRACEMCO,UltraTech Cement Limited,2004-08-24
ULTRAMAR,Ultramarine & Pigments Limited,2026-04-20
UMAEXPORTS,Uma Exports Limited,2022-04-07
UMESLTD,Usha Martin Education & Solutions Limited,2010-07-12
UMIYA-MRO,UMIYA BUILDCON LIMITED,2000-11-01
UNICHEMLAB,Unichem Laboratories Limited,2001-02-07
UNIDT,United Drilling Tools Limited,2020-09-25
UNIECOM,Unicommerce Esolutions Limited,2024-08-13
UNIENTER,Uniphos Enterprises Limited,2004-01-23
UNIINFO,Uniinfo Telecom Services Limited,2022-01-12
UNIMECH,Unimech Aerospace and Manufacturing Limited,2024-12-31
UNIONBANK,Union Bank of India,2002-09-24
UNIPARTS,Uniparts India Limited,2022-12-12
UNITDSPR,United Spirits Limited,2001-09-27
UNITECH,Unitech Limited,1999-09-08
UNITEDPOLY,United Polyfab Gujarat Limited,2021-12-31
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,2015-01-28
UNIVASTU,Univastu India Limited,2020-06-22
UNIVCABLES,Universal Cables Limited,1995-05-17
UNIVPHOTO,Universus Photo Imagings Limited,2020-02-14
UNOMINDA,UNO Minda Limited,2007-02-02
UPL,UPL Limited,2004-01-23
URAVIDEF,Uravi Defence and Technology Limited,2023-07-05
URBANCO,Urban Company Limited,2025-09-17
URJA,Urja Global Limited,2017-03-28
USHAMART,Usha Martin Limited,2000-10-11
USK,Udayshivakumar Infra Limited,2023-04-03
UTIAMC,UTI Asset Management Company Limited,2020-10-12
UTKARSHBNK,Utkarsh Small Finance Bank Limited,2023-07-21
UTLSOLAR,Fujiyama Power Systems Limited,2025-11-20
UTTAMSUGAR,Uttam Sugar Mills Limited,2006-04-10
UYFINCORP,U. Y. Fincorp Limited,2024-10-03
V2RETAIL,V2 Retail Limited,2007-07-04
VADILALIND,Vadilal Industries Limited,2011-06-15
VAIBHAVGBL,Vaibhav Global Limited,2004-04-05
VAISHALI,Vaishali Pharma Limited,2020-01-15
VAKRANGEE,Vakrangee Limited,2006-04-03
VALIANTLAB,Valiant Laboratories Limited,2023-10-06
VALIANTORG,Valiant Organics Limited,2021-07-23
VAML,Vedanta Aluminium Metal Limited,2026-06-15
VARDHACRLC,Vardhman Acrylics Limited,2003-09-30
VARDMNPOLY,Vardhman Polytex Limited,2003-05-12
VARROC,Varroc Engineering Limited,2018-07-06
VASCONEQ,Vascon Engineers Limited,2010-02-15
VASWANI,Vaswani Industries Limited,2011-09-20
VBL,Varun Beverages Limited,2016-11-08
VCL,Vaxtex Cotfab Limited,2022-04-19
VEDL,Vedanta Limited,1998-05-13
VEDPOWER,Vedanta Power Limited,2026-06-15
VEEDOL,Veedol Corporation Limited,2007-01-16
VELJAN,Veljan Denison Limited,2026-04-20
VENKEYS,Venky's (India) Limited,2003-07-28
VENTIVE,Ventive Hospitality Limited,2024-12-30
VENUSPIPES,Venus Pipes & Tubes Limited,2022-05-24
VENUSREM,Venus Remedies Limited,2006-12-20
VERANDA,Veranda Learning Solutions Limited,2022-04-11
VERTOZ,Vertoz Limited,2020-05-14
VESUVIUS,Vesuvius India Limited,2002-10-04
VETO,Veto Switchgears And Cables Limited,2015-04-29
VGL,VARVEE GLOBAL LIMITED,2006-11-21
VGUARD,V-Guard Industries Limited,2008-03-13
VHL,Vardhman Holdings Limited,2005-06-30
VHLTD,Viceroy Hotels Limited,2024-04-03
VIDHIING,Vidhi Specialty Food Ingredients Limited,2016-03-02
VIDYAWIRES,Vidya Wires Limited,2025-12-10
VIJAYA,Vijaya Diagnostic Centre Limited,2021-09-14
VIJIFIN,Viji Finance Limited,2016-07-11
VIKASECO,Vikas EcoTech Limited,2011-12-12
VIKASLIFE,Vikas Lifecare Limited,2019-05-08
VIKRAMSOLR,Vikram Solar Limited,2025-08-26
VIKRAN,Vikran Engineering Limited,2025-09-03
VIMTALABS,Vimta Labs Limited,2005-12-15
VINATIORGA,Vinati Organics Limited,2009-07-28
VINCOFE,Vintage Coffee And Beverages Limited,2024-10-18
VINDHYATEL,Vindhya Telelinks Limited,1995-02-08
VINEETLAB,Vineet Laboratories Limited,2021-06-15
VINNY,Vinny Overseas Limited,2022-11-28
VINYLINDIA,Vinyl Chemicals (India) Limited,2008-07-21
VIPCLOTHNG,VIP Clothing Limited,2007-08-06
VIPIND,VIP Industries Limited,2005-03-02
VIPULLTD,Vipul Limited,2015-04-23
VIRINCHI,Virinchi Limited,2023-05-03
VISACHROME,VISA Chrome Limited,2006-03-17
VISAKAIND,Visaka Industries Limited,1996-08-28
VISHNU,Vishnu Chemicals Limited,2015-03-05
VISHWARAJ,Vishwaraj Sugar Industries Limited,2019-10-15
VISL,Vedanta Iron and Steel Limited,2026-06-15
VITAL,Vital Chemtech Limited,2026-03-11
VIVIANA,Viviana Power Tech Limited,2026-06-02
VIVIDHA,Visagar Polytex Limited,2013-05-21
VIVIMEDLAB,Vivimed Labs Limited,2005-08-17
VIYASH,Viyash Scientific Limited,2016-03-10
VLEGOV,VL E-Governance & IT Solutions Limited,2023-08-14
VLSFINANCE,VLS Finance Limited,1995-05-25
VMART,V-Mart Retail Limited,2013-02-20
VMM,Vishal Mega Mart Limited,2024-12-18
VMSTMT,VMS TMT Limited,2025-09-24
VOGL,Vedanta Oil and Gas Limited,2026-06-15
VOLTAMP,Voltamp Transformers Limited,2006-09-20
VOLTAS,Voltas Limited,1995-04-12
VPRPL,Vishnu Prakash R Punglia Limited,2023-09-05
VRAJ,Vraj Iron and Steel Limited,2024-07-03
VRLLOG,VRL Logistics Limited,2015-04-30
VSSL,Vardhman Special Steels Limited,2012-05-17
VSTIND,VST Industries Limited,2003-09-05
VSTL,Vibhor Steel Tubes Limited,2024-02-20
VSTTILLERS,V.S.T Tillers Tractors Limited,2011-06-20
VTL,Vardhman Textiles Limited,2003-01-14
WAAREEENER,Waaree Energies Limited,2024-10-28
WAAREEINDO,Indosolar Limited,2010-09-29
WAAREERTL,Waaree Renewable Technologies Limited,2025-04-09
WABAG,VA Tech Wabag Limited,2010-10-13
WAKEFIT,Wakefit Innovations Limited,2025-12-15
WALCHANNAG,Walchandnagar Industries Limited,1996-09-18
WANBURY,Wanbury Limited,2007-01-29
WCIL,Western Carriers (India) Limited,2024-09-24
WEALTH,Wealth First Portfolio Managers Limited,2021-01-20
WEBELSOLAR,Websol Energy System Limited,2007-05-15
WEIZMANIND,Weizmann Limited,1995-05-10
WEL,Wonder Electricals Limited,2022-01-17
WELCORP,Welspun Corp Limited,2005-05-24
WELENT,Welspun Enterprises Limited,2004-11-04
WELINV,Welspun Investments and Commercials Limited,2010-09-20
WELSPLSOL,Welspun Specialty Solutions Limited,2026-04-20
WELSPUNLIV,Welspun Living Limited,2003-12-04
WENDT,Wendt (India) Limited,2006-08-07
WESTLIFE,WESTLIFE FOODWORLD LIMITED,2023-06-05
WEWIN,WE WIN LIMITED,2022-06-15
WEWORK,WeWork India Management Limited,2025-10-10
WHEELS,Wheels India Limited,2000-04-07
WHIRLPOOL,Whirlpool of India Limited,2010-04-06
WILLAMAGOR,Williamson Magor & Company Limited,1995-02-08
WINDLAS,Windlas Biotech Limited,2021-08-16
WINDMACHIN,Windsor Machines Limited,2011-08-17
WINSOME,Winsome Yarns Limited,2011-08-25
WIPL,The Western India Plywoods Limited,2017-04-17
WIPRO,Wipro Limited,1995-11-08
WOCKPHARMA,Wockhardt Limited,2000-02-23
WONDERLA,Wonderla Holidays Limited,2014-05-09
WORTHPERI,Worth Peripherals Limited,2020-08-04
WPIL,WPIL Limited,2026-04-20
WSI,W S Industries (I) Limited,2007-08-01
WSTCSTPAPR,West Coast Paper Mills Limited,2001-01-17
XCHANGING,Xchanging Solutions Limited,2005-03-09
XELPMOC,Xelpmoc Design And Tech Limited,2019-02-04
XPROINDIA,Xpro India Limited,2004-04-27
XTGLOBAL,Xtglobal Infotech Limited,2024-09-16
YASHO,Yasho Industries Limited,2023-08-21
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,2023-08-07
YATRA,Yatra Online Limited,2023-09-28
YESBANK,Yes Bank Limited,2005-07-12
YUKEN,Yuken India Limited,2021-09-02
ZAGGLE,Zaggle Prepaid Ocean Services Limited,2023-09-22
ZEEL,Zee Entertainment Enterprises Limited,1998-09-09
ZEELEARN,Zee Learn Limited,2010-12-20
ZEEMEDIA,Zee Media Corporation Limited,2007-01-10
ZENITHEXPO,Zenith Exports Limited,1996-07-10
ZENITHSTL,Zenith Steel Pipes & Industries Limited,2007-04-30
ZENSARTECH,Zensar Technologies Limited,2003-07-09
ZENTEC,Zen Technologies Limited,2015-03-30
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2008-10-01
ZFSTEERING,ZF Steering Gear (India) Limited,2026-04-20
ZIMLAB,Zim Laboratories Limited,2022-11-25
ZODIAC,Zodiac Energy Limited,2021-12-14
ZODIACLOTH,Zodiac Clothing Company Limited,1995-09-27
ZOTA,Zota Health Care LImited,2019-08-19
ZSARACOM,Saraswati Commercial India Limited,2026-04-20
ZUARI,Zuari Agro Chemicals Limited,2012-11-27
ZUARIIND,ZUARI INDUSTRIES LIMITED,1995-04-12
ZYDUSLIFE,Zydus Lifesciences Limited,2000-04-18
ZYDUSWELL,Zydus Wellness Limited,2009-11-13
