Symbol,Company Name,Industry,ListingDate
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,1998-01-28
NAUKRI,Info Edge (India) Ltd.,Consumer Services,2006-11-21
INFY,Infosys Ltd.,Information Technology,1995-02-08
INOXWIND,Inox Wind Ltd.,Capital Goods,2015-04-09
INTELLECT,Intellect Design Arena Ltd.,Information Technology,2014-12-18
INDIGO,InterGlobe Aviation Ltd.,Services,2015-11-10
IGIL,International Gemological Institute Ltd.,Services,2024-12-20
IKS,Inventurus Knowledge Solutions Ltd.,Information Technology,2024-12-19
IPCALAB,Ipca Laboratories Ltd.,Healthcare,1995-02-08
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,2003-04-29
JKCEMENT,J.K. Cement Ltd.,Construction Materials,2006-03-14
JBMA,JBM Auto Ltd.,Automobile and Auto Components,2004-12-17
JKTYRE,JK Tyre & Industries Ltd.,Automobile and Auto Components,2007-03-19
JMFINANCIL,JM Financial Ltd.,Financial Services,2006-10-10
JSWCEMENT,JSW Cement Ltd.,Construction Materials,2025-08-14
JSWDULUX,JSW Dulux Ltd.,Consumer Durables,2001-06-28
JSWENERGY,JSW Energy Ltd.,Power,2010-01-04
JSWINFRA,JSW Infrastructure Ltd.,Services,2023-10-03
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,2005-03-23
JAINREC,Jain Resource Recycling Ltd.,Metals & Mining,2025-10-01
JPPOWER,Jaiprakash Power Ventures Ltd.,Power,2005-04-18
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,1998-07-22
JINDALSAW,Jindal Saw Ltd.,Capital Goods,2003-04-29
JSL,Jindal Stainless Ltd.,Metals & Mining,2003-11-17
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining,1999-12-29
JIOFIN,Jio Financial Services Ltd.,Financial Services,2023-08-21
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,2010-02-08
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,2021-03-19
JUBLPHARMA,Jubilant Pharmova Ltd.,Healthcare,2003-06-16
JWL,Jupiter Wagons Ltd.,Capital Goods,2010-10-18
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,2024-01-16
KPRMILL,K.P.R. Mill Ltd.,Textiles,2007-08-28
KEI,KEI Industries Ltd.,Capital Goods,2006-03-23
KPITTECH,KPIT Technologies Ltd.,Information Technology,2019-04-22
KAJARIACER,Kajaria Ceramics Ltd.,Consumer Durables,2004-06-01
KPIL,Kalpataru Projects International Ltd.,Construction,2000-12-15
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables,2021-03-26
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,2000-07-26
KAYNES,Kaynes Technology India Ltd.,Capital Goods,2022-11-22
KEC,Kec International Ltd.,Construction,2006-03-10
KFINTECH,Kfin Technologies Ltd.,Financial Services,2022-12-29
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,2010-12-24
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services,1995-12-20
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,2021-06-28
LTF,L&T Finance Ltd.,Financial Services,2011-08-12
LTTS,L&T Technology Services Ltd.,Information Technology,2016-09-23
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,2025-10-14
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,1998-07-29
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,2006-12-18
LTM,LTM Ltd.,Information Technology,2016-07-21
LT,Larsen & Toubro Ltd.,Construction,2004-06-23
LATENTVIEW,Latent View Analytics Ltd.,Information Technology,2021-11-23
LAURUSLABS,Laurus Labs Ltd.,Healthcare,2016-12-19
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,2025-06-02
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,2018-04-09
LENSKART,Lenskart Solutions Ltd.,Consumer Services,2025-11-10
LICI,Life Insurance Corporation of India,Financial Services,2022-05-17
LINDEINDIA,Linde India Ltd.,Chemicals,1999-06-16
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,2023-07-17
LODHA,Lodha Developers Ltd.,Realty,2021-04-19
LUPIN,Lupin Ltd.,Healthcare,2001-09-10
MMTC,MMTC Ltd.,Services,2012-04-09
MRF,MRF Ltd.,Automobile and Auto Components,1996-09-18
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,2016-07-01
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,2006-03-17
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,1996-01-03
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,2014-12-01
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,2005-01-07
MANKIND,Mankind Pharma Ltd.,Healthcare,2023-05-09
MARICO,Marico Ltd.,Fast Moving Consumer Goods,1996-05-01
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,2003-07-09
MFSL,Max Financial Services Ltd.,Financial Services,2000-05-17
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,2020-08-21
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,2020-10-12
MEESHO,Meesho Ltd.,Consumer Services,2025-12-10
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,2014-10-16
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,2022-03-28
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,2007-09-11
MPHASIS,MphasiS Ltd.,Information Technology,2004-06-04
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,2012-03-09
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,2011-05-06
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,1995-12-27
NBCC,NBCC (India) Ltd.,Construction,2012-04-12
NCC,NCC Ltd.,Construction,2003-10-14
NHPC,NHPC Ltd.,Power,2009-09-01
NLCINDIA,NLC India Ltd.,Power,2000-08-23
NMDC,NMDC Ltd.,Metals & Mining,2008-03-03
NSLNISP,NMDC Steel Ltd.,Metals & Mining,2023-02-20
NTPCGREEN,NTPC Green Energy Ltd.,Power,2024-11-27
NTPC,NTPC Ltd.,Power,2004-11-05
NH,Narayana Hrudayalaya Ltd.,Healthcare,2016-01-06
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,1999-04-28
NAVA,Nava Ltd.,Power,1996-04-03
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,2007-06-01
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,2023-08-01
NETWEB,Netweb Technologies India Ltd.,Information Technology,2023-07-27
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,2008-10-13
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,2018-01-29
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,2017-11-06
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,2024-11-14
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,2023-09-26
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,2021-08-23
OBEROIRLTY,Oberoi Realty Ltd.,Realty,2010-10-20
ONGC,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,1995-07-19
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,2009-09-30
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,2024-08-09
OLECTRA,Olectra Greentech Ltd.,Automobile and Auto Components,2002-03-20
PAYTM,One 97 Communications Ltd.,Financial Services,2021-11-18
ONESOURCE,Onesource Specialty Pharma Ltd.,Healthcare,2025-01-24
OFSS,Oracle Financial Services Software Ltd.,Information Technology,2002-06-28
POLICYBZR,PB Fintech Ltd.,Financial Services,2021-11-15
PCBL,PCBL Chemical Ltd.,Chemicals,1995-03-29
PGEL,PG Electroplast Ltd.,Consumer Durables,2011-09-26
PIIND,PI Industries Ltd.,Chemicals,2011-06-15
PNBHOUSING,PNB Housing Finance Ltd.,Financial Services,2016-11-07
PTCIL,PTC Industries Ltd.,Capital Goods,2023-06-09
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,2006-01-04
PAGEIND,Page Industries Ltd.,Textiles,2007-03-16
PARADEEP,Paradeep Phosphates Ltd.,Chemicals,2022-05-27
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,2020-01-24
PERSISTENT,Persistent Systems Ltd.,Information Technology,2010-04-06
PETRONET,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,2004-03-26
PFIZER,Pfizer Ltd.,Healthcare,1999-04-28
PHOENIXLTD,Phoenix Mills Ltd.,Realty,2007-04-23
PWL,Physicswallah Ltd.,Consumer Services,2025-11-18
PIDILITIND,Pidilite Industries Ltd.,Chemicals,1995-03-29
PINELABS,Pine Labs Ltd.,Financial Services,2025-11-14
PIRAMALFIN,Piramal Finance Ltd.,Financial Services,2025-11-07
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,2022-10-19
POLYMED,Poly Medicure Ltd.,Healthcare,2011-12-07
POLYCAB,Polycab India Ltd.,Capital Goods,2019-04-16
POONAWALLA,Poonawalla Fincorp Ltd.,Financial Services,2004-04-27
PFC,Power Finance Corporation Ltd.,Financial Services,2007-02-23
POWERGRID,Power Grid Corporation of India Ltd.,Power,2007-10-05
PREMIERENE,Premier Energies Ltd.,Capital Goods,2024-09-03
PRESTIGE,Prestige Estates Projects Ltd.,Realty,2010-10-27
PNB,Punjab National Bank,Financial Services,2002-04-24
RRKABEL,R R Kabel Ltd.,Capital Goods,2023-09-20
RBLBANK,RBL Bank Ltd.,Financial Services,2016-08-31
